sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N04550	1	Lane7	2335FYLT4	ILLUMINA	7	25N04550	25N04550_Lane7	fastqs/LOSH_009/L_25N04550_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04550_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	4492440.615	4410416.916
25N04551	1	Lane4	2332T2LT4	ILLUMINA	4	25N04551	25N04551_Lane4	fastqs/LOSH_011/L_25N04551_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04551_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6299734.685	6173251.28
25N04552	1	Lane7	2335FYLT4	ILLUMINA	7	25N04552	25N04552_Lane7	fastqs/LOSH_009/L_25N04552_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04552_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	4468843.028	4386681.226
25N04553	1	Lane5	2332T2LT4	ILLUMINA	5	25N04553	25N04553_Lane5	fastqs/LOSH_010/L_25N04553_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04553_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	6544723.487	6404028.341
25N04554	1	Lane7	2335FYLT4	ILLUMINA	7	25N04554	25N04554_Lane7	fastqs/LOSH_009/L_25N04554_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04554_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	9565485.903	9380895.731
25N04555	1	Lane7	2335FYLT4	ILLUMINA	7	25N04555	25N04555_Lane7	fastqs/LOSH_009/L_25N04555_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04555_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	6603890.066	6313971.911
25N04556	1	Lane4	2332T2LT4	ILLUMINA	4	25N04556	25N04556_Lane4	fastqs/LOSH_011/L_25N04556_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04556_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6001271.183	5899920.027
25N04557	1	Lane7	2335FYLT4	ILLUMINA	7	25N04557	25N04557_Lane7	fastqs/LOSH_009/L_25N04557_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04557_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	4388458.1	4247983.456
25N04558	1	Lane5	2332T2LT4	ILLUMINA	5	25N04558	25N04558_Lane5	fastqs/LOSH_010/L_25N04558_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04558_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	7932741.803	7806153.989
25N04559	1	Lane7	2335FYLT4	ILLUMINA	7	25N04559	25N04559_Lane7	fastqs/LOSH_009/L_25N04559_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04559_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	3209142.417	3127163.935
25N04560	1	Lane7	2335FYLT4	ILLUMINA	7	25N04560	25N04560_Lane7	fastqs/LOSH_009/L_25N04560_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04560_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	5983805.595	5884114.176
25N04562	1	Lane7	2335FYLT4	ILLUMINA	7	25N04562	25N04562_Lane7	fastqs/LOSH_009/L_25N04562_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04562_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	6404358.57	6248954.929
25N04563	1	Lane5	2332T2LT4	ILLUMINA	5	25N04563	25N04563_Lane5	fastqs/LOSH_010/L_25N04563_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04563_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	4227185.127	4106596.789
25N04564	1	Lane7	2335FYLT4	ILLUMINA	7	25N04564	25N04564_Lane7	fastqs/LOSH_009/L_25N04564_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04564_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	3601562.54	3530133.748
